;Gesang;Gitarre;Klavier;Keyboard;Bass;Geigen;Trompete;Saxophone;Querflöte;Klarinette;Ukulele;Band;Schlagzeug
Raum 1;OK;OK;;;OK;OK;OK;OK;OK;OK;OK;;
Raum 2;OK;OK;;;OK;OK;OK;OK;OK;OK;OK;;OK
Raum 3;OK;OK;;;OK;OK;OK;OK;OK;OK;OK;;
Raum 4;OK;OK;;OK;OK;OK;OK;OK;OK;OK;OK;;
Raum 5;OK;OK;;OK;OK;OK;OK;OK;OK;OK;OK;;
Raum 6;OK;OK;;;OK;OK;OK;OK;OK;OK;OK;;
Raum 7;OK;OK;;;OK;OK;OK;OK;OK;OK;OK;;
Raum 8;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;;
Raum 9;OK;OK;OK;;OK;OK;OK;OK;OK;OK;OK;;
Raum 10;OK;OK;;;OK;OK;OK;OK;OK;OK;OK;;OK
Raum 11;OK;OK;;;OK;OK;OK;OK;OK;OK;OK;;
Raum 12;OK;OK;;;OK;OK;OK;OK;OK;OK;OK;;
Raum 13;OK;OK;;;OK;OK;OK;OK;OK;OK;OK;;
Raum 14;OK;OK;;;OK;OK;OK;OK;OK;OK;OK;;
Raum 15;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
Studio;;;;;;;;;;;;;
